Country,Est. 2010 percent that is Buddhist,Latitude ,longitude 
Cambodia,96.90%,12.565679,104.990963
Thailand,93.20%,15.870032,100.992541
Burma (Myanmar),80.10%,21.913965,95.956223
Bhutan,74.70%,27.514162,90.433601
Sri Lanka,69.30%,7.873054,80.771797
Laos,66.00%,19.85627,102.495496
Mongolia,55.10%,46.862496,103.846656
Japan,36.20%,36.204824,138.252924
Singapore,33.90%,1.352083,103.819836
South Korea,22.90%,35.907757,127.766922
Taiwan,21.30%,23.69781,120.960515
China,18.20%,35.86166,104.195397
Malaysia,17.70%,4.210484,101.975766
Macau,17.30%,22.198745,113.543873
Vietnam,16.40%,14.058324,108.277199
Hong Kong,13.20%,22.396428,114.109497
Northern Mariana Islands17.33083,10.60%,17.33083,145.38469
Nepal,10.30%,28.394857,84.124008
Brunei,8.60%,4.535277,114.727669
Qatar,f,,
Kuwait,2.80%,29.31166,47.481766
Australia,2.70%,-25.274398,133.775136
Bahrain,2.50%,25.930414,50.637772
United Arab Emirates,2.00%,23.424076,53.847818
New Zealand,1.60%,-40.900557,174.885971
North Korea,1.50%,40.339852,127.510093
United States,1.20%,37.09024,-95.712891
Guam,1.10%,13.444304,144.793731
Nauru,1.10%,-0.522778,166.931503
Canada,0.80%,56.130366,-106.346771
India,0.80%,20.593684,78.96288
Oman,0.80%,21.512583,55.923255
Palau,0.80%,7.51498,134.58252
Indonesia,0.70%,-0.789275,113.921327
Maldives,0.60%,3.202778,73.22068
New Caledonia,0.60%,-20.904305,165.618042
Norway,0.60%,60.472024,8.468946
Portugal,0.60%,39.399872,-8.224454
Suriname,0.60%,3.919305,-56.027783
Bangladesh,0.50%,23.684994,90.356331
Belize,0.50%,17.189877,-88.49765
Bermuda,0.50%,32.321384,-64.75737
France,0.50%,46.227638,2.213749
Netherlands Antilles,0.50%,12.226079,-69.060087
Federated States of Micronesia,0.40%,,
Iceland,0.40%,64.963051,-19.020835
Jordan,0.40%,30.585164,36.238414
Sweden,0.40%,60.128161,18.643501
Switzerland,0.40%,46.818188,8.227512
United Kingdom,0.40%,55.378051,-3.435973
American Samoa,0.30%,-14.270972,-170.132217
Germany,0.30%,51.165691,10.451526
Israel,0.30%,31.046051,34.851612
Libya,0.30%,26.3351,17.228331
Puerto Rico,0.30%,18.220833,-66.590149
Saudi Arabia,0.30%,23.885942,45.079162
Solomon Islands,0.30%,-9.64571,160.156194
Trinidad and Tobago,0.30%,10.691803,-61.222503
Austria,0.20%,47.516231,14.550072
Belgium,0.20%,50.503887,4.469936
Cyprus,0.20%,35.126413,33.429859
Denmark,0.20%,56.26392,9.501785
Falkland Islands (Malvinas),0.20%,,
Ireland,0.20%,53.41291,-8.24389
Italy,0.20%,41.87194,12.56738
Kazakhstan,0.20%,48.019573,66.923684
Lebanon,0.20%,33.854721,35.862285
Netherlands,0.20%,52.132633,5.291266
Panama,0.20%,8.537981,-80.782127
Peru,0.20%,-9.189967,-75.015152
Reunion,0.20%,,
South Africa,0.20%,-30.559482,22.937506
Aruba,0.10%,12.52111,-69.968338
Brazil,0.10%,-14.235004,-51.92528
Dominica,0.10%,15.414999,-61.370976
Honduras,0.10%,15.199999,-86.241905
Russia,0.10%,61.52401,105.318756
Afghanistan,< 0.1%,33.93911,67.709953
Albania,< 0.1%,41.153332,20.168331
Algeria,< 0.1%,28.033886,1.659626
Andorra,< 0.1%,42.546245,1.601554
Angola,< 0.1%,-11.202692,17.873887
Anguilla,< 0.1%,18.220554,-63.068615
Antigua and Barbuda,< 0.1%,17.060816,-61.796428
Argentina,< 0.1%,-38.416097,-63.616672
Armenia,< 0.1%,40.069099,45.038189
Azerbaijan,< 0.1%,40.143105,47.576927
Bahamas,< 0.1%,25.03428,-77.39628
Barbados,< 0.1%,13.193887,-59.543198
Belarus,< 0.1%,53.709807,27.953389
Benin,< 0.1%,9.30769,2.315834
Bolivia,< 0.1%,-16.290154,-63.588653
Bosnia-Herzegovina,< 0.1%,,
Botswana,< 0.1%,-22.328474,24.684866
British Virgin Islands,< 0.1%,18.420695,-64.639968
Bulgaria,< 0.1%,42.733883,25.48583
Burkina Faso,< 0.1%,12.238333,-1.561593
Burundi,< 0.1%,-3.373056,29.918886
Cameroon,< 0.1%,7.369722,12.354722
Cape Verde,< 0.1%,,
Cayman Islands,< 0.1%,,
Central African Republic,< 0.1%,,
Chad,< 0.1%,,
Channel Islands,< 0.1%,,
Chile,< 0.1%,,
Colombia,< 0.1%,,
Comoros,< 0.1%,,
Cook Islands,< 0.1%,,
Costa Rica,< 0.1%,,
Croatia,< 0.1%,,
Cuba,< 0.1%,,
Czech Republic,< 0.1%,,
Democratic Republic of the Congo,< 0.1%,,
Djibouti,< 0.1%,,
Dominican Republic,< 0.1%,,
Ecuador,< 0.1%,,
Egypt,< 0.1%,,
El Salvador,< 0.1%,,
Equatorial Guinea,< 0.1%,,
Eritrea,< 0.1%,,
Estonia,< 0.1%,,
Ethiopia,< 0.1%,,
Faeroe Islands,< 0.1%,,
Fiji,< 0.1%,,
Finland,< 0.1%,,
French Guiana,< 0.1%,,
French Polynesia,< 0.1%,,
Gabon,< 0.1%,,
Gambia,< 0.1%,,
Georgia,< 0.1%,,
Ghana,< 0.1%,,
Gibraltar,< 0.1%,,
Greece,< 0.1%,,
Greenland,< 0.1%,,
Grenada,< 0.1%,,
Guadeloupe,< 0.1%,,
Guatemala,< 0.1%,,
Guinea,< 0.1%,,
Guinea Bissau,< 0.1%,,
Guyana,< 0.1%,,
Haiti,< 0.1%,,
Hungary,< 0.1%,,
Iran,< 0.1%,,
Iraq,< 0.1%,,
Isle of Man,< 0.1%,,
Ivory Coast,< 0.1%,,
Jamaica,< 0.1%,,
Kenya,< 0.1%,,
Kiribati,< 0.1%,,
Kosovo,< 0.1%,,
Kyrgyzstan,< 0.1%,,
Latvia,< 0.1%,,
Lesotho,< 0.1%,,
Liberia,< 0.1%,,
Liechtenstein,< 0.1%,,
Lithuania,< 0.1%,,
Luxembourg,< 0.1%,,
Madagascar,< 0.1%,,
Malawi,< 0.1%,,
Mali,< 0.1%,,
Malta,< 0.1%,,
Marshall Islands,< 0.1%,,
Martinique,< 0.1%,,
Mauritania,< 0.1%,,
Mauritius,< 0.1%,,
Mayotte,< 0.1%,,
Mexico,< 0.1%,,
Moldova,< 0.1%,,
Monaco,< 0.1%,,
Montenegro,< 0.1%,,
Montserrat,< 0.1%,,
Morocco,< 0.1%,,
Mozambique,< 0.1%,,
Namibia,< 0.1%,,
Nicaragua,< 0.1%,,
Niger,< 0.1%,,
Nigeria,< 0.1%,,
Niue,< 0.1%,,
Pakistan,< 0.1%,,
Palestinian territories,< 0.1%,,
Papua New Guinea,< 0.1%,,
Paraguay,< 0.1%,,
Philippines,< 0.1%,,
Poland,< 0.1%,,
Republic of Macedonia,< 0.1%,,
Republic of the Congo,< 0.1%,,
Romania,< 0.1%,,
Rwanda,< 0.1%,,
Samoa,< 0.1%,,
San Marino,< 0.1%,,
Sao Tome and Principe,< 0.1%,,
Senegal,< 0.1%,,
Serbia,< 0.1%,,
Seychelles,< 0.1%,,
Sierra Leone,< 0.1%,,
Slovakia,< 0.1%,,
Slovenia,< 0.1%,,
Somalia,< 0.1%,,
South Sudan,< 0.1%,,
Spain,< 0.1%,,
St. Helena,< 0.1%,,
St. Kitts and Nevis,< 0.1%,,
St. Lucia,< 0.1%,,
St. Pierre and Miquelon,< 0.1%,,
St. Vincent and the Grenadines,< 0.1%,,
Sudan,< 0.1%,,
Swaziland,< 0.1%,,
Syria,< 0.1%,,
Tajikistan,< 0.1%,,
Tanzania,< 0.1%,,
Timor-Leste,< 0.1%,,
Togo,< 0.1%,,
Tokelau,< 0.1%,,
Tonga,< 0.1%,,
Tunisia,< 0.1%,,
Turkey,< 0.1%,,
Turkmenistan,< 0.1%,,
Turks and Caicos Islands,< 0.1%,,
Tuvalu,< 0.1%,,
U.S. Virgin Islands,< 0.1%,,
Uganda,< 0.1%,,
Ukraine,< 0.1%,,
Uruguay,< 0.1%,,
Uzbekistan,< 0.1%,,
Vanuatu,< 0.1%,,
Vatican City,< 0.1%,,
Venezuela,< 0.1%,,
Wallis and Futuna,< 0.1%,,
Western Sahara,< 0.1%,,
Yemen,< 0.1%,,
Zambia,< 0.1%,,
Zimbabwe,< 0.1%,,
Country,Est. 2010 percent that is Buddhist,,
